عدد قراء حفص الكاملين: 96
سيتم إنشاء الملفات داخل: timings_hafs_114

📖 تحميل توقيتات السورة 001 ...
  ✅ read=1 | إبراهيم الأخضر | ayat=7
  ✅ read=1 | إبراهيم الأخضر | ayat=55
  ✅ read=3 | إبراهيم العسيري | ayat=54
  ✅ read=4 | شيخ أبو بكر الشاطري | ayat=54
  ✅ read=5 | أحمد بن علي العجمي | ayat=55
  ✅ read=6 | أحمد الحواشي | ayat=54
  ✅ read=8 | أحمد صابر | ayat=54
  ✅ read=9 | أحمد نعينع | ayat=55
  ✅ read=10 | أكرم العلاقمي | ayat=55
  ✅ read=12 | إدريس أبكر | ayat=54
  ✅ read=13 | الزين محمد أحمد | ayat=54
  ✅ read=17 | توفيق الصايغ | ayat=54
  ✅ read=20 | خالد الجليل | ayat=54
  ✅ read=21 | خالد القحطاني | ayat=54
  ✅ read=22 | خالد عبدالكافي | ayat=54
  ✅ read=24 | خليفة الطنيجي | ayat=54
  ✅ read=25 | داود حمزة | ayat=54
  ✅ read=30 | سعد الغامدي | ayat=54
  ✅ read=31 | سعود الشريم | ayat=55
  ✅ read=32 | سهل ياسين | ayat=55
  ✅ read=33 | زكي داغستاني | ayat=54
  ✅ read=38 | شيرزاد عبدالرحمن طاهر | ayat=54
  ✅ read=39 | صابر عبدالحكم | ayat=54
  ✅ read=40 | صالح الصاهود | ayat=54
  ✅ read=42 | صالح الهبدان | ayat=54
  ✅ read=43 | صلاح البدير | ayat=54
  ✅ read=44 | صلاح الهاشم | ayat=54
  ✅ read=46 | صلاح بو خاطر | ayat=54
  ✅ read=48 | عادل ريان | ayat=54
  ✅ read=49 | عبدالبارئ الثبيتي | ayat=54
  ✅ read=50 | عبدالبارئ محمد | ayat=54
  ✅ read=53 | عبدالباسط عبدالصمد | ayat=55
  ✅ read=54 | عبدالرحمن السديس | ayat=54
  ✅ read=55 | عبدالعزيز الأحمد | ayat=54
  ✅ read=56 | عبدالعزيز الزهراني | ayat=54
  ✅ read=58 | عبدالله البعيجان | ayat=54
  ✅ read=59 | عبدالله المطرود | ayat=54
  ✅ read=60 | عبدالله بصفر | ayat=55
  ✅ read=61 | عبدالله خياط | ayat=54
  ✅ read=62 | عبدالله عواد الجهني | ayat=55
  ✅ read=66 | عبدالمحسن الحارثي | ayat=54
  ✅ read=67 | عبدالمحسن القاسم | ayat=55
  ✅ read=69 | عبدالمحسن العبيكان | ayat=54
  ✅ read=70 | عبدالهادي أحمد كناكري | ayat=54
  ✅ read=71 | عبدالودود حنيف | ayat=54
  ✅ read=72 | عبدالولي الأركاني | ayat=54
  ✅ read=74 | علي بن عبدالرحمن الحذيفي | ayat=54
  ✅ read=76 | علي جابر | ayat=54
  ✅ read=77 | علي حجاج السويسي | ayat=55
  ✅ read=78 | عماد زهير حافظ | ayat=55
  ✅ read=81 | فارس عباد | ayat=54
  ✅ read=86 | ناصر القطامي | ayat=54
  ✅ read=87 | نبيل الرفاعي | ayat=54
  ✅ read=88 | نعمة الحسان | ayat=54
  ✅ read=89 | هاني الرفاعي | ayat=54
  ✅ read=92 | ياسر الدوسري | ayat=54
  ✅ read=106 | محمد الطبلاوي | ayat=55
  ✅ read=109 | محمد أيوب | ayat=54
  ✅ read=110 | محمد صالح عالم شاه | ayat=54
  ✅ read=112 | محمد صديق المنشاوي | ayat=55
  ✅ read=115 | محمد عبدالكريم | ayat=54
  ✅ read=118 | محمود خليل الحصري | ayat=55
  ✅ read=123 | مشاري العفاسي | ayat=54
  ✅ read=139 | ماجد الزامل | ayat=54
  ✅ read=159 | خالد المهنا | ayat=55
  ✅ read=181 | جمعان العصيمي | ayat=54
  ✅ read=193 | يوسف بن نوح أحمد | ayat=54
  ✅ read=198 | محمد رشاد الشريف | ayat=54
  ✅ read=201 | أحمد الطرابلسي | ayat=54
  ✅ read=203 | أحمد عامر | ayat=54
  ✅ read=217 | بندر بليله | ayat=54
  ✅ read=219 | وديع اليمني | ayat=54
  ✅ read=221 | رعد محمد الكردي | ayat=54
  ✅ read=225 | عبدالرحمن العوسي | ayat=54
  ✅ read=229 | محمد خليل القارئ | ayat=54
  ✅ read=232 | إبراهيم الدوسري | ayat=54
  ✅ read=236 | عبدالرحمن الماجد | ayat=54
  ✅ read=243 | عبدالله الموسى | ayat=54
  ✅ read=244 | عبدالله الخلف | ayat=54
  ✅ read=245 | منصور السالمي | ayat=54
  ✅ read=250 | محمد البخيت | ayat=54
  ✅ read=256 | أحمد خليل شاهين | ayat=54
  ✅ read=258 | عبدالرشيد صوفي | ayat=54
  ✅ read=259 | أحمد النفيس | ayat=54
  ✅ read=265 | أحمد ديبان | ayat=54
  ✅ read=268 | بيشه وا قادر الكردي | ayat=54
  ✅ read=273 | هيثم الدخين | ayat=54
  ✅ read=282 | عبدالعزيز التركي | ayat=54
  ✅ read=289 | أحمد عيسى المعصراوي | ayat=54
  ✅ read=294 | سيد أحمد هاشمي | ayat=54
  ✅ read=295 | خالد كريم محمدي | ayat=54
  ✅ read=299 | حسن صالح | ayat=54
  ✅ read=300 | صالح الشمراني | ayat=54
  ✅ read=303 | عيسى عمر سناكو | ayat=54
  ✅ read=314 | أنس العمادي | ayat=54
  ✅ read=340 | محمد برهجي | ayat=54
  ✅ read=10905 | حسن الدغريري | ayat=54
✅ تم إنشاء: timings_hafs_114/timing_034.json

📖 تحميل توقيتات السورة 035 ...
  ✅ read=1 | إبراهيم الأخضر | ayat=46
  ✅ read=3 | إبراهيم العسيري | ayat=45
  ✅ read=4 | شيخ أبو بكر الشاطري | ayat=45
  ✅ read=5 | أحمد بن علي العجمي | ayat=46
  ✅ read=6 | أحمد الحواشي | ayat=45
  ✅ read=8 | أحمد صابر | ayat=45
  ✅ read=9 | أحمد نعينع | ayat=46
  ✅ read=10 | أكرم العلاقمي | ayat=46
  ✅ read=12 | إدريس أبكر | ayat=45
  ✅ read=13 | الزين محمد أحمد | ayat=45
  ✅ read=17 | توفيق الصايغ | ayat=45
  ✅ read=20 | خالد الجليل | ayat=45
  ✅ read=21 | خالد القحطاني | ayat=45
  ✅ read=22 | خالد عبدالكافي | ayat=45
  ✅ read=24 | خليفة الطنيجي | ayat=45
  ✅ read=25 | داود حمزة | ayat=45
  ✅ read=30 | سعد الغامدي | ayat=45
  ✅ read=31 | سعود الشريم | ayat=46
  ✅ read=32 | سهل ياسين | ayat=46
  ✅ read=33 | زكي داغستاني | ayat=45
  ✅ read=38 | شيرزاد عبدالرحمن طاهر | ayat=45
  ✅ read=39 | صابر عبدالحكم | ayat=45
  ✅ read=40 | صالح الصاهود | ayat=45
  ✅ read=42 | صالح الهبدان | ayat=45
  ✅ read=43 | صلاح البدير | ayat=45
  ✅ read=44 | صلاح الهاشم | ayat=45
  ✅ read=46 | صلاح بو خاطر | ayat=45
  ✅ read=48 | عادل ريان | ayat=45
  ✅ read=49 | عبدالبارئ الثبيتي | ayat=45
  ✅ read=50 | عبدالبارئ محمد | ayat=45
  ✅ read=53 | عبدالباسط عبدالصمد | ayat=46
  ✅ read=54 | عبدالرحمن السديس | ayat=45
  ✅ read=55 | عبدالعزيز الأحمد | ayat=45
  ✅ read=56 | عبدالعزيز الزهراني | ayat=45
  ✅ read=58 | عبدالله البعيجان | ayat=45
  ✅ read=59 | عبدالله المطرود | ayat=45
  ✅ read=60 | عبدالله بصفر | ayat=46
  ✅ read=61 | عبدالله خياط | ayat=45
  ✅ read=62 | عبدالله عواد الجهني | ayat=46
  ✅ read=66 | عبدالمحسن الحارثي | ayat=45
  ✅ read=67 | عبدالمحسن القاسم | ayat=46
  ✅ read=69 | عبدالمحسن العبيكان | ayat=45
  ✅ read=70 | عبدالهادي أحمد كناكري | ayat=45
  ✅ read=71 | عبدالودود حنيف | ayat=45
  ✅ read=72 | عبدالولي الأركاني | ayat=45
  ✅ read=74 | علي بن عبدالرحمن الحذيفي | ayat=45
  ✅ read=76 | علي جابر | ayat=45
  ✅ read=77 | علي حجاج السويسي | ayat=46
  ✅ read=78 | عماد زهير حافظ | ayat=46
  ✅ read=81 | فارس عباد | ayat=45
  ✅ read=86 | ناصر القطامي | ayat=45
  ✅ read=87 | نبيل الرفاعي | ayat=45
  ✅ read=88 | نعمة الحسان | ayat=45
  ✅ read=89 | هاني الرفاعي | ayat=45
  ✅ read=92 | ياسر الدوسري | ayat=45
  ✅ read=106 | محمد الطبلاوي | ayat=46
  ✅ read=109 | محمد أيوب | ayat=45
  ✅ read=110 | محمد صالح عالم شاه | ayat=45
  ✅ read=112 | محمد صديق المنشاوي | ayat=46
  ✅ read=115 | محمد عبدالكريم | ayat=45
  ✅ read=118 | محمود خليل الحصري | ayat=46
  ✅ read=123 | مشاري العفاسي | ayat=45
  ✅ read=139 | ماجد الزامل | ayat=45
  ✅ read=159 | خالد المهنا | ayat=46
  ✅ read=181 | جمعان العصيمي | ayat=45
  ✅ read=193 | يوسف بن نوح أحمد | ayat=45
  ✅ read=198 | محمد رشاد الشريف | ayat=45
  ✅ read=201 | أحمد الطرابلسي | ayat=45
  ✅ read=203 | أحمد عامر | ayat=45
  ✅ read=217 | بندر بليله | ayat=45
  ✅ read=219 | وديع اليمني | ayat=45
  ✅ read=221 | رعد محمد الكردي | ayat=45
  ✅ read=225 | عبدالرحمن العوسي | ayat=45
  ✅ read=229 | محمد خليل القارئ | ayat=45
  ✅ read=232 | إبراهيم الدوسري | ayat=45
  ✅ read=236 | عبدالرحمن الماجد | ayat=45
  ✅ read=243 | عبدالله الموسى | ayat=45
  ✅ read=244 | عبدالله الخلف | ayat=45
  ✅ read=245 | منصور السالمي | ayat=45
  ✅ read=250 | محمد البخيت | ayat=45
  ✅ read=256 | أحمد خليل شاهين | ayat=45
  ✅ read=258 | عبدالرشيد صوفي | ayat=45
  ✅ read=259 | أحمد النفيس | ayat=45
  ✅ read=265 | أحمد ديبان | ayat=45
  ✅ read=268 | بيشه وا قادر الكردي | ayat=45
  ✅ read=273 | هيثم الدخين | ayat=45
  ✅ read=282 | عبدالعزيز التركي | ayat=45
  ✅ read=289 | أحمد عيسى المعصراوي | ayat=45
  ✅ read=294 | سيد أحمد هاشمي | ayat=45
  ✅ read=295 | خالد كريم محمدي | ayat=45
  ✅ read=299 | حسن صالح | ayat=45
  ✅ read=300 | صالح الشمراني | ayat=45
  ✅ read=303 | عيسى عمر سناكو | ayat=45
  ✅ read=314 | أنس العمادي | ayat=45
  ✅ read=340 | محمد برهجي | ayat=45
  ✅ read=10905 | حسن الدغريري | ayat=45
✅ تم إنشاء: timings_hafs_114/timing_035.json

📖 تحميل توقيتات السورة 036 ...
  ✅ read=1 | إبراهيم الأخضر | ayat=84
  ✅ read=3 | إبراهيم العسيري | ayat=83
  ✅ read=4 | شيخ أبو بكر الشاطري | ayat=83
  ✅ read=5 | أحمد بن علي العجمي | ayat=84
  ✅ read=6 | أحمد الحواشي | ayat=83
  ✅ read=8 | أحمد صابر | ayat=83
  ✅ read=9 | أحمد نعينع | ayat=84
  ✅ read=10 | أكرم العلاقمي | ayat=84
  ✅ read=12 | إدريس أبكر | ayat=83
  ✅ read=13 | الزين محمد أحمد | ayat=83
  ✅ read=17 | توفيق الصايغ | ayat=83
  ✅ read=20 | خالد الجليل | ayat=83
  ✅ read=21 | خالد القحطاني | ayat=83
  ✅ read=22 | خالد عبدالكافي | ayat=83
  ✅ read=24 | خليفة الطنيجي | ayat=83
  ✅ read=25 | داود حمزة | ayat=83
  ✅ read=30 | سعد الغامدي | ayat=83
  ✅ read=31 | سعود الشريم | ayat=84
  ✅ read=32 | سهل ياسين | ayat=84
  ✅ read=33 | زكي داغستاني | ayat=83
  ✅ read=38 | شيرزاد عبدالرحمن طاهر | ayat=83
  ✅ read=39 | صابر عبدالحكم | ayat=83
  ✅ read=40 | صالح الصاهود | ayat=83
  ✅ read=42 | صالح الهبدان | ayat=83
  ✅ read=43 | صلاح البدير | ayat=83
  ✅ read=44 | صلاح الهاشم | ayat=83
  ✅ read=46 | صلاح بو خاطر | ayat=83
  ✅ read=48 | عادل ريان | ayat=83
  ✅ read=49 | عبدالبارئ الثبيتي | ayat=83
  ✅ read=50 | عبدالبارئ محمد | ayat=83
  ✅ read=53 | عبدالباسط عبدالصمد | ayat=84
  ✅ read=54 | عبدالرحمن السديس | ayat=83
  ✅ read=55 | عبدالعزيز الأحمد | ayat=83
  ✅ read=56 | عبدالعزيز الزهراني | ayat=83
  ✅ read=58 | عبدالله البعيجان | ayat=83
  ✅ read=59 | عبدالله المطرود | ayat=83
  ✅ read=60 | عبدالله بصفر | ayat=84
  ✅ read=61 | عبدالله خياط | ayat=83
  ✅ read=62 | عبدالله عواد الجهني | ayat=84
  ✅ read=66 | عبدالمحسن الحارثي | ayat=83
  ✅ read=67 | عبدالمحسن القاسم | ayat=84
  ✅ read=69 | عبدالمحسن العبيكان | ayat=83
  ✅ read=70 | عبدالهادي أحمد كناكري | ayat=83
  ✅ read=71 | عبدالودود حنيف | ayat=83
  ✅ read=72 | عبدالولي الأركاني | ayat=83
  ✅ read=74 | علي بن عبدالرحمن الحذيفي | ayat=83
  ✅ read=76 | علي جابر | ayat=83
  ✅ read=77 | علي حجاج السويسي | ayat=84
  ✅ read=78 | عماد زهير حافظ | ayat=84
  ✅ read=81 | فارس عباد | ayat=83
  ✅ read=86 | ناصر القطامي | ayat=83
  ✅ read=87 | نبيل الرفاعي | ayat=83
  ✅ read=88 | نعمة الحسان | ayat=83
  ✅ read=89 | هاني الرفاعي | ayat=83
  ✅ read=92 | ياسر الدوسري | ayat=83
  ✅ read=106 | محمد الطبلاوي | ayat=84
  ✅ read=109 | محمد أيوب | ayat=83
  ✅ read=110 | محمد صالح عالم شاه | ayat=83
  ✅ read=112 | محمد صديق المنشاوي | ayat=84
  ✅ read=115 | محمد عبدالكريم | ayat=83
  ✅ read=118 | محمود خليل الحصري | ayat=84
  ✅ read=123 | مشاري العفاسي | ayat=83
  ✅ read=139 | ماجد الزامل | ayat=83
  ✅ read=159 | خالد المهنا | ayat=84
  ✅ read=181 | جمعان العصيمي | ayat=83
  ✅ read=193 | يوسف بن نوح أحمد | ayat=83
  ✅ read=198 | محمد رشاد الشريف | ayat=83
  ✅ read=201 | أحمد الطرابلسي | ayat=83
  ✅ read=203 | أحمد عامر | ayat=83
  ✅ read=217 | بندر بليله | ayat=83
  ✅ read=219 | وديع اليمني | ayat=83
  ✅ read=221 | رعد محمد الكردي | ayat=83
  ✅ read=225 | عبدالرحمن العوسي | ayat=83
  ✅ read=229 | محمد خليل القارئ | ayat=83
  ✅ read=232 | إبراهيم الدوسري | ayat=83
  ✅ read=236 | عبدالرحمن الماجد | ayat=83
  ✅ read=243 | عبدالله الموسى | ayat=83
  ✅ read=244 | عبدالله الخلف | ayat=83
  ✅ read=245 | منصور السالمي | ayat=83
  ✅ read=250 | محمد البخيت | ayat=83
  ✅ read=256 | أحمد خليل شاهين | ayat=83
  ✅ read=258 | عبدالرشيد صوفي | ayat=83
  ✅ read=259 | أحمد النفيس | ayat=83
  ✅ read=265 | أحمد ديبان | ayat=83
  ✅ read=268 | بيشه وا قادر الكردي | ayat=83
  ✅ read=273 | هيثم الدخين | ayat=83
  ✅ read=282 | عبدالعزيز التركي | ayat=83
  ✅ read=289 | أحمد عيسى المعصراوي | ayat=83
  ✅ read=294 | سيد أحمد هاشمي | ayat=83
  ✅ read=295 | خالد كريم محمدي | ayat=83
  ✅ read=299 | حسن صالح | ayat=83
  ✅ read=300 | صالح الشمراني | ayat=83
  ✅ read=303 | عيسى عمر سناكو | ayat=83
  ✅ read=314 | أنس العمادي | ayat=83
  ✅ read=340 | محمد برهجي | ayat=83
  ✅ read=10905 | حسن الدغريري | ayat=83
✅ تم إنشاء: timings_hafs_114/timing_036.json

📖 تحميل توقيتات السورة 037 ...
  ✅ read=1 | إبراهيم الأخضر | ayat=183
  ✅ read=3 | إبراهيم العسيري | ayat=182
  ✅ read=4 | شيخ أبو بكر الشاطري | ayat=182
  ✅ read=5 | أحمد بن علي العجمي | ayat=183
  ✅ read=6 | أحمد الحواشي | ayat=182
  ✅ read=8 | أحمد صابر | ayat=182
  ✅ read=9 | أحمد نعينع | ayat=183
  ✅ read=10 | أكرم العلاقمي | ayat=183
  ✅ read=12 | إدريس أبكر | ayat=182
  ✅ read=13 | الزين محمد أحمد | ayat=182
  ✅ read=17 | توفيق الصايغ | ayat=182
  ✅ read=20 | خالد الجليل | ayat=182
  ✅ read=21 | خالد القحطاني | ayat=182
  ✅ read=22 | خالد عبدالكافي | ayat=182
  ✅ read=24 | خليفة الطنيجي | ayat=182
  ✅ read=25 | داود حمزة | ayat=182
  ✅ read=30 | سعد الغامدي | ayat=182
  ✅ read=31 | سعود الشريم | ayat=183
  ✅ read=32 | سهل ياسين | ayat=183
  ✅ read=33 | زكي داغستاني | ayat=182
  ✅ read=38 | شيرزاد عبدالرحمن طاهر | ayat=182
  ✅ read=39 | صابر عبدالحكم | ayat=182
  ✅ read=40 | صالح الصاهود | ayat=182
  ✅ read=42 | صالح الهبدان | ayat=182
  ✅ read=43 | صلاح البدير | ayat=182
  ✅ read=44 | صلاح الهاشم | ayat=182
  ✅ read=46 | صلاح بو خاطر | ayat=182
  ✅ read=48 | عادل ريان | ayat=182
  ✅ read=49 | عبدالبارئ الثبيتي | ayat=182
  ✅ read=50 | عبدالبارئ محمد | ayat=182
  ✅ read=53 | عبدالباسط عبدالصمد | ayat=183
  ✅ read=54 | عبدالرحمن السديس | ayat=182
  ✅ read=55 | عبدالعزيز الأحمد | ayat=182
  ✅ read=56 | عبدالعزيز الزهراني | ayat=182
  ✅ read=58 | عبدالله البعيجان | ayat=182
  ✅ read=59 | عبدالله المطرود | ayat=182
  ✅ read=60 | عبدالله بصفر | ayat=183
  ✅ read=61 | عبدالله خياط | ayat=182
  ✅ read=62 | عبدالله عواد الجهني | ayat=183
  ✅ read=66 | عبدالمحسن الحارثي | ayat=182
  ✅ read=67 | عبدالمحسن القاسم | ayat=183
  ✅ read=69 | عبدالمحسن العبيكان | ayat=182
  ✅ read=70 | عبدالهادي أحمد كناكري | ayat=182
  ✅ read=71 | عبدالودود حنيف | ayat=182
  ✅ read=72 | عبدالولي الأركاني | ayat=182
  ✅ read=74 | علي بن عبدالرحمن الحذيفي | ayat=182
  ✅ read=76 | علي جابر | ayat=182
  ✅ read=77 | علي حجاج السويسي | ayat=183
  ✅ read=78 | عماد زهير حافظ | ayat=183
  ✅ read=81 | فارس عباد | ayat=182
  ✅ read=86 | ناصر القطامي | ayat=182
  ✅ read=87 | نبيل الرفاعي | ayat=182
  ✅ read=88 | نعمة الحسان | ayat=182
  ✅ read=89 | هاني الرفاعي | ayat=182
  ✅ read=92 | ياسر الدوسري | ayat=182
  ✅ read=106 | محمد الطبلاوي | ayat=183
  ✅ read=109 | محمد أيوب | ayat=182
  ✅ read=110 | محمد صالح عالم شاه | ayat=182
  ✅ read=112 | محمد صديق المنشاوي | ayat=183
  ✅ read=115 | محمد عبدالكريم | ayat=182
  ✅ read=118 | محمود خليل الحصري | ayat=183
  ✅ read=123 | مشاري العفاسي | ayat=182
  ✅ read=139 | ماجد الزامل | ayat=182
  ✅ read=159 | خالد المهنا | ayat=183
  ✅ read=181 | جمعان العصيمي | ayat=182
  ✅ read=193 | يوسف بن نوح أحمد | ayat=182
  ✅ read=198 | محمد رشاد الشريف | ayat=182
  ✅ read=201 | أحمد الطرابلسي | ayat=182
  ✅ read=203 | أحمد عامر | ayat=182
  ✅ read=217 | بندر بليله | ayat=182
  ✅ read=219 | وديع اليمني | ayat=182
  ✅ read=221 | رعد محمد الكردي | ayat=182
  ✅ read=225 | عبدالرحمن العوسي | ayat=182
  ✅ read=229 | محمد خليل القارئ | ayat=182
  ✅ read=232 | إبراهيم الدوسري | ayat=182
  ✅ read=236 | عبدالرحمن الماجد | ayat=182
  ✅ read=243 | عبدالله الموسى | ayat=182
  ✅ read=244 | عبدالله الخلف | ayat=182
  ✅ read=245 | منصور السالمي | ayat=182
  ✅ read=250 | محمد البخيت | ayat=182
  ✅ read=256 | أحمد خليل شاهين | ayat=182
  ✅ read=258 | عبدالرشيد صوفي | ayat=182
  ✅ read=259 | أحمد النفيس | ayat=182
  ✅ read=265 | أحمد ديبان | ayat=182
  ✅ read=268 | بيشه وا قادر الكردي | ayat=182
  ✅ read=273 | هيثم الدخين | ayat=182
  ✅ read=282 | عبدالعزيز التركي | ayat=182
  ✅ read=289 | أحمد عيسى المعصراوي | ayat=182
  ✅ read=294 | سيد أحمد هاشمي | ayat=182
  ✅ read=295 | خالد كريم محمدي | ayat=182
  ✅ read=299 | حسن صالح | ayat=182
  ✅ read=300 | صالح الشمراني | ayat=182
  ✅ read=303 | عيسى عمر سناكو | ayat=182
  ✅ read=314 | أنس العمادي | ayat=182
  ✅ read=340 | محمد برهجي | ayat=182
  ✅ read=10905 | حسن الدغريري | ayat=182
✅ تم إنشاء: timings_hafs_114/timing_037.json

📖 تحميل توقيتات السورة 038 ...
  ✅ read=1 | إبراهيم الأخضر | ayat=89
  ✅ read=3 | إبراهيم العسيري | ayat=88
  ✅ read=4 | شيخ أبو بكر الشاطري | ayat=88
  ✅ read=5 | أحمد بن علي العجمي | ayat=89
  ✅ read=6 | أحمد الحواشي | ayat=88
  ✅ read=8 | أحمد صابر | ayat=88
  ✅ read=9 | أحمد نعينع | ayat=89
  ✅ read=10 | أكرم العلاقمي | ayat=89
  ✅ read=12 | إدريس أبكر | ayat=88
  ✅ read=13 | الزين محمد أحمد | ayat=88
  ✅ read=17 | توفيق الصايغ | ayat=88
  ✅ read=20 | خالد الجليل | ayat=88
  ✅ read=21 | خالد القحطاني | ayat=88
  ✅ read=22 | خالد عبدالكافي | ayat=88
  ✅ read=24 | خليفة الطنيجي | ayat=88
  ✅ read=25 | داود حمزة | ayat=88
  ✅ read=30 | سعد الغامدي | ayat=88
  ✅ read=31 | سعود الشريم | ayat=89
  ✅ read=32 | سهل ياسين | ayat=89
  ✅ read=33 | زكي داغستاني | ayat=88
  ✅ read=38 | شيرزاد عبدالرحمن طاهر | ayat=88
  ✅ read=39 | صابر عبدالحكم | ayat=88
  ✅ read=40 | صالح الصاهود | ayat=88
  ✅ read=42 | صالح الهبدان | ayat=88
  ✅ read=43 | صلاح البدير | ayat=88
  ✅ read=44 | صلاح الهاشم | ayat=88
  ✅ read=46 | صلاح بو خاطر | ayat=88
  ✅ read=48 | عادل ريان | ayat=88
  ✅ read=49 | عبدالبارئ الثبيتي | ayat=88
  ✅ read=50 | عبدالبارئ محمد | ayat=88
  ✅ read=53 | عبدالباسط عبدالصمد | ayat=89
  ✅ read=54 | عبدالرحمن السديس | ayat=88
  ✅ read=55 | عبدالعزيز الأحمد | ayat=88
  ✅ read=56 | عبدالعزيز الزهراني | ayat=88
  ✅ read=58 | عبدالله البعيجان | ayat=88
  ✅ read=59 | عبدالله المطرود | ayat=88
  ✅ read=60 | عبدالله بصفر | ayat=89
  ✅ read=61 | عبدالله خياط | ayat=88
  ✅ read=62 | عبدالله عواد الجهني | ayat=89
  ✅ read=66 | عبدالمحسن الحارثي | ayat=88
  ✅ read=67 | عبدالمحسن القاسم | ayat=89
  ✅ read=69 | عبدالمحسن العبيكان | ayat=88
  ✅ read=70 | عبدالهادي أحمد كناكري | ayat=88
  ✅ read=71 | عبدالودود حنيف | ayat=88
  ✅ read=72 | عبدالولي الأركاني | ayat=88
  ✅ read=74 | علي بن عبدالرحمن الحذيفي | ayat=88
  ✅ read=76 | علي جابر | ayat=88
  ✅ read=77 | علي حجاج السويسي | ayat=89
  ✅ read=78 | عماد زهير حافظ | ayat=89
  ✅ read=81 | فارس عباد | ayat=88
  ✅ read=86 | ناصر القطامي | ayat=88
  ✅ read=87 | نبيل الرفاعي | ayat=88
  ✅ read=88 | نعمة الحسان | ayat=88
  ✅ read=89 | هاني الرفاعي | ayat=88
  ✅ read=92 | ياسر الدوسري | ayat=88
  ✅ read=106 | محمد الطبلاوي | ayat=89
  ✅ read=109 | محمد أيوب | ayat=88
  ✅ read=110 | محمد صالح عالم شاه | ayat=88
  ✅ read=112 | محمد صديق المنشاوي | ayat=89
  ✅ read=115 | محمد عبدالكريم | ayat=88
  ✅ read=118 | محمود خليل الحصري | ayat=89
  ✅ read=123 | مشاري العفاسي | ayat=88
  ✅ read=139 | ماجد الزامل | ayat=88
  ✅ read=159 | خالد المهنا | ayat=89
  ✅ read=181 | جمعان العصيمي | ayat=88
  ✅ read=193 | يوسف بن نوح أحمد | ayat=88
  ✅ read=198 | محمد رشاد الشريف | ayat=88
  ✅ read=201 | أحمد الطرابلسي | ayat=88
  ✅ read=203 | أحمد عامر | ayat=88
  ✅ read=217 | بندر بليله | ayat=88
  ✅ read=219 | وديع اليمني | ayat=88
  ✅ read=221 | رعد محمد الكردي | ayat=88
  ✅ read=225 | عبدالرحمن العوسي | ayat=88
  ✅ read=229 | محمد خليل القارئ | ayat=88
  ✅ read=232 | إبراهيم الدوسري | ayat=88
  ✅ read=236 | عبدالرحمن الماجد | ayat=88
  ✅ read=243 | عبدالله الموسى | ayat=88
  ✅ read=244 | عبدالله الخلف | ayat=88
  ✅ read=245 | منصور السالمي | ayat=88
  ✅ read=250 | محمد البخيت | ayat=88
  ✅ read=256 | أحمد خليل شاهين | ayat=88
  ✅ read=258 | عبدالرشيد صوفي | ayat=88
  ✅ read=259 | أحمد النفيس | ayat=88
  ✅ read=265 | أحمد ديبان | ayat=88
  ✅ read=268 | بيشه وا قادر الكردي | ayat=88
  ✅ read=273 | هيثم الدخين | ayat=88
  ✅ read=282 | عبدالعزيز التركي | ayat=88
  ✅ read=289 | أحمد عيسى المعصراوي | ayat=88
  ✅ read=294 | سيد أحمد هاشمي | ayat=88
  ✅ read=295 | خالد كريم محمدي | ayat=88
  ✅ read=299 | حسن صالح | ayat=88
  ✅ read=300 | صالح الشمراني | ayat=88
  ✅ read=303 | عيسى عمر سناكو | ayat=88
  ✅ read=314 | أنس العمادي | ayat=88
  ✅ read=340 | محمد برهجي | ayat=88
  ✅ read=10905 | حسن الدغريري | ayat=88
✅ تم إنشاء: timings_hafs_114/timing_038.json

📖 تحميل توقيتات السورة 039 ...
  ✅ read=1 | إبراهيم الأخضر | ayat=76
  ✅ read=3 | إبراهيم العسيري | ayat=75
  ✅ read=4 | شيخ أبو بكر الشاطري | ayat=75
  ✅ read=5 | أحمد بن علي العجمي | ayat=76
  ✅ read=6 | أحمد الحواشي | ayat=75
  ✅ read=8 | أحمد صابر | ayat=75
  ✅ read=9 | أحمد نعينع | ayat=76
  ✅ read=10 | أكرم العلاقمي | ayat=76
  ✅ read=12 | إدريس أبكر | ayat=75
  ✅ read=13 | الزين محمد أحمد | ayat=75
  ✅ read=17 | توفيق الصايغ | ayat=75
  ✅ read=20 | خالد الجليل | ayat=75
  ✅ read=21 | خالد القحطاني | ayat=75
  ✅ read=22 | خالد عبدالكافي | ayat=75
  ✅ read=24 | خليفة الطنيجي | ayat=75
  ✅ read=25 | داود حمزة | ayat=75
  ✅ read=30 | سعد الغامدي | ayat=75
  ✅ read=31 | سعود الشريم | ayat=76
  ✅ read=32 | سهل ياسين | ayat=76
  ✅ read=33 | زكي داغستاني | ayat=75
  ✅ read=38 | شيرزاد عبدالرحمن طاهر | ayat=75
  ✅ read=39 | صابر عبدالحكم | ayat=75
  ✅ read=40 | صالح الصاهود | ayat=75
  ✅ read=42 | صالح الهبدان | ayat=75
  ✅ read=43 | صلاح البدير | ayat=75
  ✅ read=44 | صلاح الهاشم | ayat=75
  ✅ read=46 | صلاح بو خاطر | ayat=75
  ✅ read=48 | عادل ريان | ayat=75
  ✅ read=49 | عبدالبارئ الثبيتي | ayat=75
  ✅ read=50 | عبدالبارئ محمد | ayat=75
